IP:Port,Loss,Latency
188.114.99.195:943,0%,165.18
188.114.98.192:4177,0%,165.20
188.114.97.17:880,0%,165.20
188.114.96.27:955,0%,165.20
188.114.97.164:7281,0%,165.20
188.114.97.93:3854,0%,165.23
188.114.99.92:1002,0%,165.28
188.114.97.153:7559,0%,165.30
188.114.97.15:1843,0%,165.31
188.114.99.85:4233,0%,165.31
188.114.97.81:854,0%,165.32
188.114.97.54:1014,0%,165.34
188.114.97.202:7281,0%,165.34
162.159.195.168:864,0%,165.35
188.114.99.204:3854,0%,165.37
188.114.96.59:7103,0%,165.38
188.114.97.80:987,0%,165.39
188.114.96.69:7103,0%,165.41
188.114.98.95:859,0%,165.41
188.114.97.180:908,0%,165.45
188.114.99.105:968,0%,165.53
188.114.98.111:7559,0%,165.54
188.114.96.204:5956,0%,165.54
188.114.96.73:1180,0%,165.56
188.114.97.186:1018,0%,165.57
188.114.97.254:890,0%,165.58
188.114.97.187:3581,0%,165.59
188.114.96.80:934,0%,165.60
188.114.97.183:939,0%,165.62
188.114.97.127:7103,0%,165.63
188.114.96.45:894,0%,165.64
188.114.97.48:908,0%,165.66
188.114.96.49:1387,0%,165.68
188.114.97.183:1018,0%,165.70
188.114.97.56:934,0%,165.72
188.114.96.255:8886,0%,165.74
188.114.96.34:864,0%,165.76
188.114.98.45:1180,0%,165.77
188.114.96.106:968,0%,165.79
188.114.99.14:1002,0%,165.84
188.114.99.113:3581,0%,165.85
188.114.99.151:864,0%,165.89
188.114.96.45:4177,0%,165.91
188.114.96.185:942,0%,165.92
188.114.96.94:878,0%,165.92
162.159.195.201:1018,0%,165.93
188.114.97.7:1843,0%,165.95
188.114.96.42:3854,0%,165.97
188.114.99.40:3138,0%,166.01
188.114.97.160:7559,0%,166.02
188.114.99.122:859,0%,166.02
188.114.96.8:1074,0%,166.02
188.114.96.175:942,0%,166.03
188.114.97.251:894,0%,166.03
188.114.96.27:934,0%,166.03
188.114.99.181:1002,0%,166.04
188.114.99.30:943,0%,166.05
188.114.99.209:943,0%,166.06
188.114.97.13:878,0%,166.08
188.114.97.163:1074,0%,166.09
188.114.97.242:859,0%,166.09
188.114.98.206:864,0%,166.09
188.114.99.178:2408,0%,166.10
188.114.97.87:3138,0%,166.14
188.114.96.185:943,0%,166.14
188.114.99.178:1843,0%,166.18
188.114.97.178:500,0%,166.20
188.114.96.28:8886,0%,166.21
188.114.97.84:500,0%,166.26
188.114.99.33:7281,0%,166.26
162.159.195.31:890,0%,166.28
188.114.96.213:500,0%,166.31
188.114.96.147:2371,0%,166.32
188.114.97.167:7559,0%,166.33
188.114.97.55:1002,0%,166.34
188.114.96.106:946,0%,166.38
188.114.99.180:8742,0%,166.38
188.114.96.85:854,0%,166.40
188.114.98.119:3476,0%,166.42
188.114.96.189:1180,0%,166.43
188.114.96.185:934,0%,166.46
188.114.97.233:988,0%,166.48
188.114.99.158:1014,0%,166.50
188.114.96.251:1843,0%,166.53
188.114.99.164:500,0%,166.53
188.114.99.110:934,0%,166.53
188.114.98.49:3581,0%,166.59
188.114.97.199:3854,0%,166.63
162.159.195.23:1002,0%,166.64
188.114.99.226:987,0%,166.65
188.114.98.132:894,0%,166.69
188.114.96.190:1070,0%,166.71
188.114.99.140:8319,0%,166.71
188.114.97.96:894,0%,166.73
188.114.98.116:946,0%,166.74
188.114.96.43:943,0%,166.78
188.114.99.183:1701,0%,166.78
188.114.98.228:908,0%,166.84
188.114.96.61:2506,0%,166.85
188.114.98.87:4198,0%,166.89
188.114.99.232:880,0%,166.93
188.114.97.21:7156,0%,166.94
162.159.195.116:942,0%,166.95
162.159.195.76:946,0%,166.96
188.114.99.151:1387,0%,167.00
162.159.195.226:8319,0%,167.06
188.114.96.35:4177,0%,167.13
162.159.195.204:939,0%,167.13
188.114.98.238:891,0%,167.14
188.114.99.41:4177,0%,167.20
188.114.97.236:1018,0%,167.23
188.114.96.10:908,0%,167.25
188.114.99.23:1387,0%,167.26
188.114.97.69:3476,0%,167.30
188.114.97.106:955,0%,167.31
188.114.98.170:1843,0%,167.36
188.114.98.213:8319,0%,167.38
188.114.96.77:2371,0%,167.41
188.114.96.83:7559,0%,167.42
188.114.96.31:7281,0%,167.42
188.114.99.128:4198,0%,167.50
188.114.96.23:988,0%,167.53
188.114.98.35:955,0%,167.59
188.114.96.219:942,0%,167.61
188.114.99.125:2408,0%,167.62
188.114.97.199:880,0%,167.65
188.114.96.2:7559,0%,167.69
188.114.97.124:3581,0%,167.69
188.114.97.148:988,0%,167.71
188.114.96.81:1018,0%,167.74
188.114.96.90:1070,0%,167.74
188.114.96.52:880,0%,167.75
188.114.98.95:987,0%,167.84
188.114.97.217:878,0%,167.90
188.114.97.188:891,0%,167.95
188.114.97.105:500,0%,168.00
188.114.98.42:5279,0%,168.02
162.159.195.143:1002,0%,168.03
188.114.99.119:3854,0%,168.09
188.114.99.183:934,0%,168.18
188.114.99.177:890,0%,168.21
162.159.195.205:3854,0%,168.23
162.159.195.137:955,0%,168.24
188.114.99.3:7103,0%,168.28
188.114.96.172:2408,0%,168.30
188.114.99.141:946,0%,168.30
188.114.98.14:968,0%,168.42
188.114.99.224:928,0%,168.45
188.114.96.79:1018,0%,168.48
188.114.98.78:4500,0%,168.51
188.114.98.213:942,0%,168.65
188.114.96.86:4233,0%,168.67
188.114.99.70:4233,0%,168.79
188.114.99.215:8742,0%,168.84
162.159.195.80:8886,0%,168.97
188.114.97.236:890,0%,169.07
188.114.97.207:8742,0%,169.09
188.114.96.164:903,0%,169.14
188.114.96.111:894,0%,169.29
188.114.96.189:890,0%,169.32
188.114.98.153:4500,0%,169.47
188.114.97.91:987,0%,169.49
188.114.96.81:946,0%,169.60
188.114.96.116:3476,0%,169.65
188.114.99.16:945,0%,169.68
188.114.99.254:4177,0%,169.77
162.159.195.153:3854,0%,169.79
188.114.98.208:3138,0%,169.79
188.114.98.122:894,0%,169.94
188.114.98.199:943,0%,170.00
188.114.98.198:894,0%,170.06
188.114.99.168:987,0%,170.16
188.114.98.7:894,0%,170.20
188.114.97.214:7103,0%,170.23
188.114.99.167:4500,0%,170.24
188.114.98.110:1070,0%,170.28
162.159.195.93:8742,0%,170.33
188.114.98.211:939,0%,170.37
188.114.98.2:7152,0%,170.40
188.114.98.90:1387,0%,170.47
188.114.99.9:3138,0%,170.48
162.159.195.35:928,0%,170.50
188.114.99.56:3476,0%,170.53
188.114.98.141:1843,0%,170.57
188.114.99.189:8742,0%,170.62
188.114.97.249:8319,0%,170.63
188.114.99.103:1018,0%,170.66
188.114.98.96:7156,0%,170.67
188.114.98.33:4500,0%,170.68
188.114.98.27:939,0%,170.70
188.114.99.164:3854,0%,170.71
188.114.98.112:4198,0%,170.72
188.114.99.195:1070,0%,170.77
188.114.96.130:864,0%,170.80
188.114.98.159:5956,0%,170.82
162.159.195.93:968,0%,170.82
188.114.99.27:8742,0%,170.84
162.159.195.71:1180,0%,170.85
188.114.98.249:5279,0%,170.88
188.114.99.211:7103,0%,171.00
188.114.98.71:891,0%,171.03
188.114.98.199:1018,0%,171.10
188.114.98.95:8854,0%,171.14
188.114.99.40:1701,0%,171.34
188.114.99.2:7559,0%,171.41
188.114.99.236:2506,0%,171.59
188.114.99.218:903,0%,171.71
188.114.99.170:854,0%,171.74
188.114.99.134:908,0%,171.82
188.114.97.149:880,0%,171.95
188.114.98.177:8319,0%,172.10
188.114.99.189:859,0%,172.15
188.114.97.33:878,0%,172.27
188.114.98.91:854,0%,172.34
188.114.98.106:946,0%,172.36
188.114.98.166:7156,0%,172.41
188.114.99.97:3476,0%,172.45
188.114.99.177:3476,0%,172.49
188.114.99.196:7559,0%,172.65
188.114.98.226:5956,0%,172.72
188.114.98.153:4198,0%,172.76
162.159.195.28:8742,0%,172.87
